block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id11_time(us),aic_scalar_wait_id12_time(us),aic_scalar_wait_id3_time(us),aiv_scalar_wait_id13_time(us),aiv_scalar_wait_id5_time(us),
7,cube0,1016.993347,1830588,84.320000,0.080535,117.718330,0.112434,493.332214,0.471186,5.257778,0.005022,102.935158,561.822754,0.536602,15.643835,0.000063,704.142212,0.672533,45.833889,81.882774,40.462776,0.000000,0.000000,0.000000,0.924444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.059998,0.941667,600.854980,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013.635559,1824544,408.998322,0.390638,266.833893,0.254856,40.073448,94.805557,0.090550,47.099998,0.004901,556.380554,0.531405,64.556664,68.286110,0.000000,0.000000,0.000000,247.609451,44.733334,5.235000,NA,NA,NA,201.759995,283.662781,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016.716125,1830089,408.947784,0.390590,276.943878,0.264512,38.605381,98.138336,0.093733,45.518703,0.004868,570.812805,0.545189,64.504448,68.313889,0.000000,0.000000,0.000000,244.298340,40.706665,5.153333,NA,NA,NA,205.559448,291.316101,
8,cube0,1027.041138,1848674,84.320000,0.080535,117.682220,0.112399,498.191681,0.475828,4.557222,0.004353,118.758781,568.595581,0.543071,15.457493,0.000063,721.142761,0.688771,45.833889,81.882774,43.706112,0.000000,0.000000,0.000000,0.857222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.079437,0.972778,587.784424,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1026.760010,1848168,409.009430,0.390649,275.719452,0.263342,38.782009,95.326668,0.091047,46.842522,0.004983,567.532776,0.542056,64.557777,68.285553,0.000000,0.000000,0.000000,248.291672,47.855000,5.083333,NA,NA,NA,205.109451,275.161652,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1026.459473,1847627,408.921112,0.390565,277.351105,0.264901,38.548698,93.454445,0.089259,47.800076,0.004799,585.170532,0.558902,64.491112,68.320557,0.000000,0.000000,0.000000,242.214996,35.767223,5.381667,NA,NA,NA,209.436111,281.929443,
9,cube0,1022.164429,1839896,84.320000,0.080535,117.043335,0.111789,494.613892,0.472411,5.163889,0.004932,104.806709,564.763306,0.539411,15.562382,0.000063,709.722778,0.677863,45.845001,81.877220,41.105000,0.000000,0.000000,0.000000,0.883333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.208893,1.756111,593.155029,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.867798,1839362,408.941681,0.390584,275.453888,0.263089,38.819397,97.078888,0.092721,45.997040,0.004679,574.687195,0.548889,64.546112,68.291664,0.000000,0.000000,0.000000,246.388336,41.959999,4.595556,NA,NA,NA,218.476105,282.177765,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.163879,1836295,408.939453,0.390582,267.931122,0.255904,39.903999,99.462219,0.094997,44.912830,0.004700,568.489441,0.542970,64.501114,68.315552,0.000000,0.000000,0.000000,253.773331,39.068333,4.631667,NA,NA,NA,223.958328,278.511108,
10,cube0,1031.456665,1856622,84.320000,0.080535,117.461670,0.112189,489.343903,0.467377,5.434444,0.005190,99.588867,552.351685,0.527557,15.912076,0.000063,711.066650,0.679147,45.842777,81.878334,44.005554,0.000000,0.000000,0.000000,1.230000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.221664,1.229445,601.140015,NA,NA,
