block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023.513916,1842325,4.204671,10.093760,10.158072,4.258739,1250,0.255209,577,0.087200,11155.125000,4676.750000,NA,NA,NA,NA,NA,NA,NA,NA,11084.500000,4.586822,4617.375000,2.250895,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023.036682,1841466,4.192378,10.093760,10.158072,4.247811,1250,0.257289,577,0.092977,11155.125000,4664.750000,NA,NA,NA,NA,NA,NA,NA,NA,11084.500000,4.586822,4603.875000,2.244313,
13,cube0,1025.790039,1846422,22.437887,22.393950,22.380974,8.488680,5286,0.112314,1349,0.473996,18,0.004943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24577.750000,9321.875000,24592.000000,8.482557,567.500000,0.259127,0.000000,0.000000,9216.000000,4.009300,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1025.280518,1845505,4.263748,10.210205,10.273607,4.319181,1250,0.259830,577,0.093134,11282.000000,4743.125000,NA,NA,NA,NA,NA,NA,NA,NA,11212.375000,4.639737,4682.250000,2.282520,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1025.099487,1845179,4.265455,10.208839,10.274062,4.319522,1250,0.268137,577,0.094011,11282.500000,4743.500000,NA,NA,NA,NA,NA,NA,NA,NA,11210.875000,4.639116,4684.125000,2.283434,
14,cube0,1020.161133,1836290,22.437887,22.393950,22.380974,8.488680,5286,0.111931,1349,0.473638,18,0.004982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24577.750000,9321.875000,24592.000000,8.482557,567.500000,0.259127,0.000000,0.000000,9216.000000,4.009300,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.844971,1835721,4.263748,10.210205,10.273607,4.319181,1250,0.262550,577,0.091808,11282.000000,4743.125000,NA,NA,NA,NA,NA,NA,NA,NA,11212.375000,4.639737,4682.250000,2.282520,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.064453,1834316,4.265455,10.208839,10.274062,4.319522,1250,0.262342,577,0.095768,11282.500000,4743.500000,NA,NA,NA,NA,NA,NA,NA,NA,11210.875000,4.639116,4684.125000,2.283434,
15,cube0,1020.739441,1837331,22.437887,22.393950,22.380974,8.488680,5286,0.112707,1349,0.462571,18,0.004997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24577.750000,9321.875000,24592.000000,8.482557,567.500000,0.259127,0.000000,0.000000,9216.000000,4.009300,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.390015,1836702,4.263748,10.210205,10.273607,4.319181,1250,0.255300,577,0.090869,11282.000000,4743.125000,NA,NA,NA,NA,NA,NA,NA,NA,11212.375000,4.639737,4682.250000,2.282520,
